File, LineNum, UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'PEI_Load_2021_01.csv', '701', '2021', '1', '1', '4', '2021', '1', '1', '0', '175.76659566128328'
'PEI_Load_2021_01.csv', '709', '2021', '1', '1', '5', '2021', '1', '1', '1', '172.76410036257073'
'PEI_Load_2021_01.csv', '711', '2021', '1', '1', '6', '2021', '1', '1', '2', '173.78430306621928'
'PEI_Load_2021_01.csv', '723', '2021', '1', '1', '7', '2021', '1', '1', '3', '177.85219992253957'
'PEI_Load_2021_01.csv', '726', '2021', '1', '1', '8', '2021', '1', '1', '4', '181.00751039416153'
'PEI_Load_2021_01.csv', '733', '2021', '1', '1', '9', '2021', '1', '1', '5', '186.1946169675646'
'PEI_Load_2021_01.csv', '736', '2021', '1', '1', '10', '2021', '1', '1', '6', '192.5009332580505'
'PEI_Load_2021_01.csv', '742', '2021', '1', '1', '11', '2021', '1', '1', '7', '199.52674150951822'
'PEI_Load_2021_01.csv', '748', '2021', '1', '1', '12', '2021', '1', '1', '8', '204.44634466153062'
'PEI_Load_2021_01.csv', '755', '2021', '1', '1', '13', '2021', '1', '1', '9', '202.8536231410666'
'PEI_Load_2021_01.csv', '761', '2021', '1', '1', '14', '2021', '1', '1', '10', '198.20459816241487'
'PEI_Load_2021_01.csv', '764', '2021', '1', '1', '15', '2021', '1', '1', '11', '195.10524817664705'
'PEI_Load_2021_01.csv', '770', '2021', '1', '1', '16', '2021', '1', '1', '12', '188.90654820511145'
'PEI_Load_2021_01.csv', '768', '2021', '1', '1', '17', '2021', '1', '1', '13', '193.81385234924377'
'PEI_Load_2021_01.csv', '773', '2021', '1', '1', '18', '2021', '1', '1', '14', '207.23002011171099'
'PEI_Load_2021_01.csv', '798', '2021', '1', '1', '19', '2021', '1', '1', '15', '223.26761102809496'
'PEI_Load_2021_01.csv', '809', '2021', '1', '1', '20', '2021', '1', '1', '16', '225.58218970336392'
'PEI_Load_2021_01.csv', '813', '2021', '1', '1', '21', '2021', '1', '1', '17', '221.9662813866348'
'PEI_Load_2021_01.csv', '818', '2021', '1', '1', '22', '2021', '1', '1', '18', '219.25435014908797'
'PEI_Load_2021_01.csv', '827', '2021', '1', '1', '23', '2021', '1', '1', '19', '209.8271606090442'
'PEI_Load_2021_01.csv', '838', '2021', '1', '2', '0', '2021', '1', '1', '20', '197.94631899693422'
'PEI_Load_2021_01.csv', '845', '2021', '1', '2', '1', '2021', '1', '1', '21', '190.1979440325147'
'PEI_Load_2021_01.csv', '852', '2021', '1', '2', '2', '2021', '1', '1', '22', '183.2244065645371'
'PEI_Load_2021_01.csv', '856', '2021', '1', '2', '3', '2021', '1', '1', '23', '179.35021908232733'
'PEI_Load_2021_01.csv', '857', '2021', '1', '2', '4', '2021', '1', '2', '0', '176.7997123232059'
'PEI_Load_2021_01.csv', '861', '2021', '1', '2', '5', '2021', '1', '2', '1', '175.99258993107887'
'PEI_Load_2021_01.csv', '862', '2021', '1', '2', '6', '2021', '1', '2', '2', '175.79888055696836'
'PEI_Load_2021_01.csv', '865', '2021', '1', '2', '7', '2021', '1', '2', '3', '179.18879460390193'
'PEI_Load_2021_01.csv', '869', '2021', '1', '2', '8', '2021', '1', '2', '4', '186.223314652618'
'PEI_Load_2021_01.csv', '875', '2021', '1', '2', '9', '2021', '1', '2', '5', '197.40236742114922'
'PEI_Load_2021_01.csv', '883', '2021', '1', '2', '10', '2021', '1', '2', '6', '208.2774856161603'
'PEI_Load_2021_01.csv', '894', '2021', '1', '2', '11', '2021', '1', '2', '7', '217.53248904588366'
'PEI_Load_2021_01.csv', '902', '2021', '1', '2', '12', '2021', '1', '2', '8', '224.08417054357614'
'PEI_Load_2021_01.csv', '908', '2021', '1', '2', '13', '2021', '1', '2', '9', '227.90670219268978'
'PEI_Load_2021_01.csv', '916', '2021', '1', '2', '14', '2021', '1', '2', '10', '230.1020750992753'
'PEI_Load_2021_01.csv', '917', '2021', '1', '2', '15', '2021', '1', '2', '11', '229.52094697694383'
'PEI_Load_2021_01.csv', '919', '2021', '1', '2', '16', '2021', '1', '2', '12', '229.01730260425657'
'PEI_Load_2021_01.csv', '924', '2021', '1', '2', '17', '2021', '1', '2', '13', '232.0391688403802'
'PEI_Load_2021_01.csv', '927', '2021', '1', '2', '18', '2021', '1', '2', '14', '240.0630415813125'
'PEI_Load_2021_01.csv', '943', '2021', '1', '2', '19', '2021', '1', '2', '15', '252.95978124431295'
'PEI_Load_2021_01.csv', '959', '2021', '1', '2', '20', '2021', '1', '2', '16', '242.37033545960625'
'PEI_Load_2021_01.csv', '968', '2021', '1', '2', '21', '2021', '1', '2', '17', '233.0722855023028'
'PEI_Load_2021_01.csv', '981', '2021', '1', '2', '22', '2021', '1', '2', '18', '219.90004806278958'
'PEI_Load_2021_01.csv', '993', '2021', '1', '2', '23', '2021', '1', '2', '19', '208.53576478164092'
'PEI_Load_2021_01.csv', '1002', '2021', '1', '3', '0', '2021', '1', '2', '20', '199.49599398981815'
'PEI_Load_2021_01.csv', '1012', '2021', '1', '3', '1', '2021', '1', '2', '21', '189.68138570155338'
'PEI_Load_2021_01.csv', '1023', '2021', '1', '3', '2', '2021', '1', '2', '22', '178.96280033410636'
'PEI_Load_2021_01.csv', '1028', '2021', '1', '3', '3', '2021', '1', '2', '23', '173.92635660723366'
'PEI_Load_2021_01.csv', '1032', '2021', '1', '3', '4', '2021', '1', '3', '0', '171.4081347437973'
'PEI_Load_2021_01.csv', '1038', '2021', '1', '3', '5', '2021', '1', '3', '1', '170.31044829050455'
'PEI_Load_2021_01.csv', '1043', '2021', '1', '3', '6', '2021', '1', '3', '2', '168.115075383919'
'PEI_Load_2021_01.csv', '1048', '2021', '1', '3', '7', '2021', '1', '3', '3', '171.62336738169782'
'PEI_Load_2021_01.csv', '1053', '2021', '1', '3', '8', '2021', '1', '3', '4', '178.00716742182794'
'PEI_Load_2021_01.csv', '1058', '2021', '1', '3', '9', '2021', '1', '3', '5', '185.17764275348455'
'PEI_Load_2021_01.csv', '1066', '2021', '1', '3', '10', '2021', '1', '3', '6', '195.6335464696757'
'PEI_Load_2021_01.csv', '1080', '2021', '1', '3', '11', '2021', '1', '3', '7', '205.44871380375315'
'PEI_Load_2021_01.csv', '1086', '2021', '1', '3', '12', '2021', '1', '3', '8', '212.40995226385067'
