UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2021', '1', '1', '4', '2021', '1', '1', '0', '188.6482690396308'
'2021', '1', '1', '5', '2021', '1', '1', '1', '181.6747315716532'
'2021', '1', '1', '6', '2021', '1', '1', '2', '181.26148490688416'
'2021', '1', '1', '7', '2021', '1', '1', '3', '183.43963920243766'
'2021', '1', '1', '8', '2021', '1', '1', '4', '178.05882325492408'
'2021', '1', '1', '9', '2021', '1', '1', '5', '158.17132751291393'
'2021', '1', '1', '10', '2021', '1', '1', '6', '155.71767544084776'
'2021', '1', '1', '11', '2021', '1', '1', '7', '133.63480679225205'
'2021', '1', '1', '12', '2021', '1', '1', '8', '124.62086391697736'
'2021', '1', '1', '13', '2021', '1', '1', '9', '81.72069453064114'
'2021', '1', '1', '14', '2021', '1', '1', '10', '51.760311334885614'
'2021', '1', '1', '15', '2021', '1', '1', '11', '37.554957233449784'
'2021', '1', '1', '16', '2021', '1', '1', '12', '51.387793307750044'
'2021', '1', '1', '17', '2021', '1', '1', '13', '67.65882885447238'
'2021', '1', '1', '18', '2021', '1', '1', '14', '47.88612385267584'
'2021', '1', '1', '19', '2021', '1', '1', '15', '46.63162504891267'
'2021', '1', '1', '20', '2021', '1', '1', '16', '51.08516053389233'
'2021', '1', '1', '21', '2021', '1', '1', '17', '82.73176297112029'
'2021', '1', '1', '22', '2021', '1', '1', '18', '77.32994871747007'
'2021', '1', '1', '23', '2021', '1', '1', '19', '65.31996752261978'
'2021', '1', '2', '0', '2021', '1', '1', '20', '34.197328082201295'
'2021', '1', '2', '1', '2021', '1', '1', '21', '29.80658226903023'
'2021', '1', '2', '2', '2021', '1', '1', '22', '6.819736541252269'
'2021', '1', '2', '3', '2021', '1', '1', '23', '3.6096954845641887'
'2021', '1', '2', '4', '2021', '1', '2', '0', '3.720386555484481'
'2021', '1', '2', '5', '2021', '1', '2', '1', '3.462107390003837'
'2021', '1', '2', '6', '2021', '1', '2', '2', '5.786619879329692'
'2021', '1', '2', '7', '2021', '1', '2', '3', '1.266734483418304'
'2021', '1', '2', '8', '2021', '1', '2', '4', '0.49189698697631457'
'2021', '1', '2', '9', '2021', '1', '2', '5', '0.6210365697166367'
'2021', '1', '2', '10', '2021', '1', '2', '6', '0.7501761524569588'
'2021', '1', '2', '11', '2021', '1', '2', '7', '0.6210365697166367'
'2021', '1', '2', '12', '2021', '1', '2', '8', '0.6210365697166367'
'2021', '1', '2', '13', '2021', '1', '2', '9', '3.69168887043107'
'2021', '1', '2', '14', '2021', '1', '2', '10', '19.452956591936317'
'2021', '1', '2', '15', '2021', '1', '2', '11', '36.78011973700783'
'2021', '1', '2', '16', '2021', '1', '2', '12', '46.01359990294111'
'2021', '1', '2', '17', '2021', '1', '2', '13', '55.666783712780465'
'2021', '1', '2', '18', '2021', '1', '2', '14', '75.77433627250618'
'2021', '1', '2', '19', '2021', '1', '2', '15', '103.88216988177443'
'2021', '1', '2', '20', '2021', '1', '2', '16', '131.24111238360103'
'2021', '1', '2', '21', '2021', '1', '2', '17', '125.11159433139056'
'2021', '1', '2', '22', '2021', '1', '2', '18', '111.16451939543538'
'2021', '1', '2', '23', '2021', '1', '2', '19', '115.23672090451369'
'2021', '1', '3', '0', '2021', '1', '2', '20', '149.38983588657177'
'2021', '1', '3', '1', '2021', '1', '2', '21', '180.2254984764562'
'2021', '1', '3', '2', '2021', '1', '2', '22', '170.82700662146584'
'2021', '1', '3', '3', '2021', '1', '2', '23', '177.30981367503017'
'2021', '1', '3', '4', '2021', '1', '3', '0', '172.1184024488691'
'2021', '1', '3', '5', '2021', '1', '3', '1', '151.06865046219605'
'2021', '1', '3', '6', '2021', '1', '3', '2', '153.00574420330094'
'2021', '1', '3', '7', '2021', '1', '3', '3', '135.9593192815779'
'2021', '1', '3', '8', '2021', '1', '3', '4', '138.02555260542312'
'2021', '1', '3', '9', '2021', '1', '3', '5', '123.56191933850664'
'2021', '1', '3', '10', '2021', '1', '3', '6', '97.21744445948025'
'2021', '1', '3', '11', '2021', '1', '3', '7', '73.71404040074094'
'2021', '1', '3', '12', '2021', '1', '3', '8', '61.83319878863102'
'2021', '1', '3', '13', '2021', '1', '3', '9', '42.97881970854348'
'2021', '1', '3', '14', '2021', '1', '3', '10', '26.190673952301154'
'2021', '1', '3', '15', '2021', '1', '3', '11', '14.568111505671823'
'2021', '1', '3', '16', '2021', '1', '3', '12', '7.336294872213614'
'2021', '1', '3', '17', '2021', '1', '3', '13', '5.270061548368403'
'2021', '1', '3', '18', '2021', '1', '3', '14', '3.117735169362959'
'2021', '1', '3', '19', '2021', '1', '3', '15', '6.329006126839056'
'2021', '1', '3', '20', '2021', '1', '3', '16', '12.107285012342288'
'2021', '1', '3', '21', '2021', '1', '3', '17', '9.015109447837801'
'2021', '1', '3', '22', '2021', '1', '3', '18', '10.435644857981401'
'2021', '1', '3', '23', '2021', '1', '3', '19', '0.7501761524569588'
'2021', '1', '4', '0', '2021', '1', '3', '20', '0.6210365697166367'
'2021', '1', '4', '1', '2021', '1', '3', '21', '0.6210365697166367'
'2021', '1', '4', '2', '2021', '1', '3', '22', '0.6210365697166367'
'2021', '1', '4', '3', '2021', '1', '3', '23', '0.6210365697166367'
'2021', '1', '4', '4', '2021', '1', '4', '0', '0.6210365697166367'
'2021', '1', '4', '5', '2021', '1', '4', '1', '0.6210365697166367'
'2021', '1', '4', '6', '2021', '1', '4', '2', '0.6210365697166367'
'2021', '1', '4', '7', '2021', '1', '4', '3', '0.6210365697166367'
'2021', '1', '4', '8', '2021', '1', '4', '4', '0.6210365697166367'
'2021', '1', '4', '9', '2021', '1', '4', '5', '0.6210365697166367'
'2021', '1', '4', '10', '2021', '1', '4', '6', '0.6210365697166367'
'2021', '1', '4', '11', '2021', '1', '4', '7', '0.7501761524569588'
'2021', '1', '4', '12', '2021', '1', '4', '8', '0.6210365697166367'
'2021', '1', '4', '13', '2021', '1', '4', '9', '0.7501761524569588'
'2021', '1', '4', '14', '2021', '1', '4', '10', '1.3313042747884367'
'2021', '1', '4', '15', '2021', '1', '4', '11', '3.2899212796833885'
'2021', '1', '4', '16', '2021', '1', '4', '12', '0.36275740423599245'
'2021', '1', '4', '17', '2021', '1', '4', '13', '8.025039313495325'
'2021', '1', '4', '18', '2021', '1', '4', '14', '19.63325291759793'
'2021', '1', '4', '19', '2021', '1', '4', '15', '21.954895638418463'
'2021', '1', '4', '20', '2021', '1', '4', '16', '16.37606566403639'
'2021', '1', '4', '21', '2021', '1', '4', '17', '13.79327400922989'
'2021', '1', '4', '22', '2021', '1', '4', '18', '18.737475177002352'
'2021', '1', '4', '23', '2021', '1', '4', '19', '27.453372094650984'
'2021', '1', '5', '0', '2021', '1', '4', '20', '44.51165040802645'
'2021', '1', '5', '1', '2021', '1', '4', '21', '60.461090722015044'
'2021', '1', '5', '2', '2021', '1', '4', '22', '65.73967116652585'
'2021', '1', '5', '3', '2021', '1', '4', '23', '75.54186218721942'
'2021', '1', '5', '4', '2021', '1', '5', '0', '80.48669407334471'
